id,sex,location,lat,long,county,state
87,Female,RotaryPk,36.499264,-87.268960,Montgomery,TN
111,Male,RotaryPk,36.499264,-87.268960,Montgomery,TN
135,Female,RotaryPk,36.496260,-87.262690,Montgomery,TN
