id,sex,location,lat,long,county,state,
116,Male,CheathamWMA,36.189604,-87.062469,Cheatham,TN,
082,Male,CheathamWMA,36.185850,-87.065060,Cheatham,TN,
076,Male,CheathamWMA,36.187653,-87.063439,Cheatham,TN,
071,Male,CheathamWMA,36.190475,-87.063000,Cheatham,TN,
